               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026504,           0.0071585,            0.021144,             0.75338,             0.50453,             0.55199,             0.38853,             0.02215,            0.004867,            0.019401,            0.008845,            0.008845,            0.008845
                  37,            0.026636,            0.007341,            0.020398,             0.85683,             0.44799,             0.56142,             0.40245,            0.021685,           0.0049675,             0.01918,            0.008812,            0.008812,            0.008812
                  38,            0.026554,           0.0070988,            0.020311,             0.78812,             0.46417,             0.56412,             0.39341,            0.023515,           0.0050493,             0.01797,            0.008779,            0.008779,            0.008779
                  39,            0.026894,           0.0074847,             0.01917,             0.74264,              0.5422,             0.59479,             0.42503,            0.021707,           0.0048311,            0.017699,            0.008746,            0.008746,            0.008746
                  40,            0.026388,           0.0074768,            0.018313,             0.67716,             0.58304,             0.60457,              0.4372,            0.021689,            0.004843,            0.017318,            0.008713,            0.008713,            0.008713
                  41,             0.02683,           0.0073781,            0.018776,             0.78966,             0.53528,             0.63842,             0.45295,            0.021845,           0.0047887,            0.016295,             0.00868,             0.00868,             0.00868
                  42,            0.025839,           0.0070412,            0.018287,             0.80822,             0.54892,             0.63554,             0.44632,              0.0215,           0.0048935,            0.015976,            0.008647,            0.008647,            0.008647
                  43,             0.02605,           0.0071036,            0.017321,             0.79273,             0.57293,             0.63779,             0.45346,            0.021911,           0.0048536,            0.016669,            0.008614,            0.008614,            0.008614
                  44,            0.026416,            0.007295,             0.01656,             0.73893,             0.61119,             0.65295,             0.46588,            0.021939,           0.0047928,            0.014858,            0.008581,            0.008581,            0.008581
                  45,             0.02637,           0.0071677,            0.016466,             0.80194,             0.58654,             0.67243,             0.48045,            0.021456,           0.0048325,             0.01474,            0.008548,            0.008548,            0.008548
                  46,            0.025824,           0.0071177,            0.016443,             0.78306,             0.61398,             0.65237,             0.46071,            0.020828,           0.0048147,            0.014172,            0.008515,            0.008515,            0.008515
                  47,            0.026298,           0.0074162,            0.015596,             0.66911,             0.65252,             0.66214,             0.49141,            0.021569,           0.0047555,            0.014212,            0.008482,            0.008482,            0.008482
                  48,            0.025753,           0.0068639,            0.015601,              0.6759,             0.65711,             0.67332,             0.47227,            0.022238,            0.004752,            0.013686,            0.008449,            0.008449,            0.008449
                  49,            0.026433,           0.0071747,             0.01542,             0.74943,              0.6928,             0.71393,              0.5164,            0.021083,           0.0046983,            0.013701,            0.008416,            0.008416,            0.008416
                  50,            0.026216,           0.0072437,            0.015327,              0.7038,              0.6701,             0.69058,             0.49718,            0.020993,           0.0048089,            0.013486,            0.008383,            0.008383,            0.008383
                  51,            0.025396,           0.0070658,            0.014299,             0.72674,             0.66974,             0.70145,             0.50332,            0.020903,           0.0047988,            0.012628,             0.00835,             0.00835,             0.00835
                  52,            0.025535,           0.0071024,            0.013718,             0.69856,             0.71695,             0.71315,             0.51042,             0.02077,           0.0047258,            0.012958,            0.008317,            0.008317,            0.008317
                  53,            0.025783,           0.0069491,            0.013865,             0.74073,             0.68334,             0.71542,             0.51725,            0.021844,           0.0047537,            0.012443,            0.008284,            0.008284,            0.008284
                  54,            0.026235,           0.0071425,            0.014105,             0.74859,              0.7235,             0.72455,             0.51435,            0.021375,           0.0046847,            0.012229,            0.008251,            0.008251,            0.008251
                  55,            0.025795,           0.0068049,            0.013473,             0.75371,             0.71029,             0.74906,             0.54675,            0.020747,           0.0046269,            0.011878,            0.008218,            0.008218,            0.008218
                  56,            0.025405,           0.0070765,            0.013181,             0.74423,             0.71976,             0.73594,             0.54093,            0.020787,           0.0046912,             0.01181,            0.008185,            0.008185,            0.008185
                  57,            0.025644,           0.0068621,            0.013038,             0.79355,             0.69053,             0.72248,             0.51348,            0.021058,           0.0046997,            0.011648,            0.008152,            0.008152,            0.008152
